FlightDate,HourRange,NonUsaPassengerAverageWait,NonUsaPassengerCount,TotalPassengerCount,UsaPassengerAverageWait,UsaPassengerCount
2023-01-04,0000 - 0100,11,29,171,11,142
2023-01-04,0500 - 0600,38,102,234,35,132
2023-01-04,0600 - 0700,18,1478,2716,13,1238
2023-01-04,0700 - 0800,29,857,1520,16,663
2023-01-04,0800 - 0900,39,528,895,12,367
2023-01-04,0900 - 1000,39,640,934,10,294
2023-01-04,1000 - 1100,12,417,1086,10,669
2023-01-04,1100 - 1200,10,520,1086,10,566
2023-01-04,1200 - 1300,12,777,2082,12,1305
2023-01-04,1300 - 1400,19,1234,2276,11,1042
2023-01-04,1400 - 1500,31,632,1473,17,841
2023-01-04,1500 - 1600,17,1025,2195,13,1170
2023-01-04,1600 - 1700,12,831,2045,11,1214
2023-01-04,1700 - 1800,10,257,1437,12,1180
2023-01-04,1800 - 1900,15,898,1758,13,860
2023-01-04,1900 - 2000,22,513,1679,14,1166
2023-01-04,2000 - 2100,11,150,502,12,352
2023-01-04,2100 - 2200,11,255,1284,13,1029
2023-01-04,2200 - 2300,14,120,503,13,383
2023-01-04,2300 - 0000,19,276,1138,15,862
2023-01-05,0200 - 0300,12,23,158,8,135
2023-01-05,0500 - 0600,27,399,757,28,358
2023-01-05,0600 - 0700,23,565,1538,17,973
2023-01-05,0700 - 0800,33,652,1015,15,363
2023-01-05,0800 - 0900,18,135,526,20,391
2023-01-05,0900 - 1000,20,578,1358,14,780
2023-01-05,1000 - 1100,14,303,811,10,508
2023-01-05,1100 - 1200,10,588,1598,9,1010
2023-01-05,1200 - 1300,20,899,2217,15,1318
2023-01-05,1300 - 1400,19,997,2766,15,1769
2023-01-05,1400 - 1500,15,980,2344,14,1364
2023-01-05,1500 - 1600,12,550,1592,14,1042
2023-01-05,1600 - 1700,15,364,1134,15,770
2023-01-05,1700 - 1800,18,789,2086,14,1297
2023-01-05,1800 - 1900,13,571,2229,13,1658
2023-01-05,1900 - 2000,18,280,895,14,615
2023-01-05,2000 - 2100,10,280,787,12,507
2023-01-05,2100 - 2200,13,125,696,13,571
2023-01-05,2200 - 2300,14,283,1206,13,923
2023-01-05,2300 - 0000,14,155,651,12,496
2023-01-06,0500 - 0600,25,248,770,24,522
2023-01-06,0600 - 0700,17,484,1234,15,750
2023-01-06,0700 - 0800,24,678,1446,9,768
2023-01-06,0800 - 0900,50,770,1637,18,867
2023-01-06,0900 - 1000,43,189,690,18,501
2023-01-06,1000 - 1100,16,684,1455,14,771
2023-01-06,1100 - 1200,14,467,1366,12,899
2023-01-06,1200 - 1300,23,654,1852,20,1198
2023-01-06,1300 - 1400,20,981,2712,14,1731
2023-01-06,1400 - 1500,15,485,1714,12,1229
2023-01-06,1500 - 1600,19,581,1411,16,830
2023-01-06,1600 - 1700,11,847,2815,12,1968
2023-01-06,1700 - 1800,11,468,1495,11,1027
2023-01-06,1800 - 1900,17,463,1431,14,968
2023-01-06,1900 - 2000,16,621,1770,11,1149
2023-01-06,2000 - 2100,16,87,701,15,614
2023-01-06,2100 - 2200,15,188,947,14,759
2023-01-06,2200 - 2300,18,300,986,16,686
2023-01-06,2300 - 0000,11,109,470,11,361
2023-01-07,0500 - 0600,34,52,240,31,188
2023-01-07,0600 - 0700,16,522,1368,13,846
2023-01-07,0700 - 0800,33,702,1401,13,699
2023-01-07,0800 - 0900,55,328,859,20,531
2023-01-07,0900 - 1000,25,540,1109,16,569
2023-01-07,1000 - 1100,11,327,1048,11,721
2023-01-07,1100 - 1200,15,511,1525,16,1014
2023-01-07,1200 - 1300,16,561,1446,15,885
2023-01-07,1300 - 1400,13,1127,2774,9,1647
2023-01-07,1400 - 1500,16,481,1505,15,1024
2023-01-07,1500 - 1600,20,727,2261,13,1534
2023-01-07,1600 - 1700,32,1041,2800,17,1759
2023-01-07,1700 - 1800,43,924,2289,19,1365
2023-01-07,1800 - 1900,14,267,1588,15,1321
2023-01-07,1900 - 2000,22,268,945,17,677
2023-01-07,2000 - 2100,17,392,1348,20,956
2023-01-07,2100 - 2200,19,235,1024,17,789
2023-01-07,2200 - 2300,22,254,1224,20,970
2023-01-07,2300 - 0000,15,104,494,16,390
2023-01-08,0500 - 0600,31,520,1327,20,807
2023-01-08,0600 - 0700,22,484,1190,18,706
2023-01-08,0700 - 0800,26,753,1816,18,1063
2023-01-08,0800 - 0900,42,721,1459,15,738
2023-01-08,0900 - 1000,43,431,1200,17,769
2023-01-08,1000 - 1100,13,201,630,12,429
2023-01-08,1100 - 1200,14,839,1939,13,1100
2023-01-08,1200 - 1300,20,433,1675,17,1242
2023-01-08,1300 - 1400,10,923,2271,12,1348
2023-01-08,1400 - 1500,16,727,1707,14,980
2023-01-08,1500 - 1600,17,1091,2651,15,1560
2023-01-08,1600 - 1700,13,464,1267,12,803
2023-01-08,1700 - 1800,14,478,1751,14,1273
2023-01-08,1800 - 1900,14,530,1838,14,1308
2023-01-08,1900 - 2000,21,238,907,14,669
2023-01-08,2000 - 2100,19,779,1511,13,732
2023-01-08,2100 - 2200,14,189,896,13,707
2023-01-08,2200 - 2300,19,164,817,14,653
2023-01-08,2300 - 0000,22,349,1134,21,785
2023-01-09,0500 - 0600,27,234,786,18,552
2023-01-09,0600 - 0700,52,750,1208,19,458
2023-01-09,0700 - 0800,61,870,1729,16,859
2023-01-09,0800 - 0900,86,389,898,29,509
2023-01-09,0900 - 1000,43,509,955,12,446
2023-01-09,1000 - 1100,15,375,1051,16,676
2023-01-09,1100 - 1200,16,382,1128,16,746
2023-01-09,1200 - 1300,21,483,1268,16,785
2023-01-09,1300 - 1400,16,521,1563,13,1042
2023-01-09,1400 - 1500,23,643,1705,24,1062
2023-01-09,1500 - 1600,29,874,2382,22,1508
2023-01-09,1600 - 1700,40,875,2282,21,1407
2023-01-09,1700 - 1800,24,665,2142,17,1477
2023-01-09,1800 - 1900,15,483,1091,13,608
2023-01-09,1900 - 2000,27,252,891,21,639
2023-01-09,2000 - 2100,13,138,428,11,290
2023-01-09,2100 - 2200,13,283,1142,12,859
2023-01-09,2200 - 2300,22,380,1324,15,944
2023-01-09,2300 - 0000,17,457,1275,14,818
2023-01-10,0000 - 0100,10,136,329,10,193
2023-01-10,0500 - 0600,22,241,634,19,393
2023-01-10,0600 - 0700,34,739,1420,14,681
2023-01-10,0700 - 0800,64,705,1305,21,600
2023-01-10,0800 - 0900,94,347,659,30,312
2023-01-10,0900 - 1000,55,592,1329,20,737
2023-01-10,1000 - 1100,29,318,892,20,574
2023-01-10,1100 - 1200,23,381,1142,26,761
2023-01-10,1200 - 1300,22,477,1518,20,1041
2023-01-10,1300 - 1400,29,1167,2451,16,1284
2023-01-10,1400 - 1500,34,586,1572,22,986
2023-01-10,1500 - 1600,32,456,936,17,480
2023-01-10,1600 - 1700,32,933,2406,18,1473
2023-01-10,1700 - 1800,23,251,1174,13,923
2023-01-10,1800 - 1900,26,597,1461,18,864
2023-01-10,1900 - 2000,35,303,810,13,507
2023-01-10,2000 - 2100,20,331,572,14,241
2023-01-10,2100 - 2200,19,359,1279,16,920
2023-01-10,2200 - 2300,16,274,993,16,719
2023-01-10,2300 - 0000,18,256,713,17,457
2023-01-11,0500 - 0600,31,174,480,25,306
2023-01-11,0600 - 0700,22,605,1431,12,826
2023-01-11,0700 - 0800,15,1000,1546,7,546
2023-01-11,0800 - 0900,39,709,1316,19,607
2023-01-11,0900 - 1000,20,300,648,13,348
2023-01-11,1000 - 1100,14,745,1519,13,774
2023-01-11,1100 - 1200,23,795,1805,15,1010
2023-01-11,1200 - 1300,22,332,921,14,589
2023-01-11,1300 - 1400,20,648,1568,14,920
2023-01-11,1400 - 1500,36,1043,2040,22,997
2023-01-11,1500 - 1600,60,1245,2429,23,1184
2023-01-11,1600 - 1700,51,390,1068,23,678
2023-01-11,1700 - 1800,29,615,1275,23,660
2023-01-11,1800 - 1900,17,485,1012,17,527
2023-01-11,1900 - 2000,35,678,1362,16,684
2023-01-11,2000 - 2100,45,163,588,27,425
2023-01-11,2100 - 2200,37,397,1467,29,1070
2023-01-11,2200 - 2300,33,260,839,32,579
2023-01-11,2300 - 0000,27,116,355,28,239
2023-01-12,0400 - 0500,0,0,7,1,7
2023-01-12,0500 - 0600,28,277,504,19,227
2023-01-12,0600 - 0700,19,550,1111,13,561
2023-01-12,0700 - 0800,33,499,832,15,333
2023-01-12,0800 - 0900,40,596,1212,22,616
2023-01-12,0900 - 1000,43,643,1327,14,684
2023-01-12,1000 - 1100,19,333,848,15,515
2023-01-12,1100 - 1200,41,1003,1986,27,983
2023-01-12,1200 - 1300,33,331,707,16,376
2023-01-12,1300 - 1400,45,1391,2525,23,1134
2023-01-12,1400 - 1500,42,467,830,25,363
2023-01-12,1500 - 1600,51,1019,2006,20,987
2023-01-12,1600 - 1700,53,1029,2477,24,1448
2023-01-12,1700 - 1800,31,346,825,16,479
2023-01-12,1800 - 1900,34,478,904,21,426
2023-01-12,1900 - 2000,12,212,517,9,305
2023-01-12,2000 - 2100,21,539,1258,12,719
2023-01-12,2100 - 2200,15,508,1167,14,659
2023-01-12,2200 - 2300,20,224,676,19,452
2023-01-12,2300 - 0000,21,260,704,19,444
2023-01-13,0500 - 0600,14,214,471,11,257
2023-01-13,0600 - 0700,25,875,1597,12,722
2023-01-13,0700 - 0800,15,238,417,11,179
2023-01-13,0800 - 0900,28,1035,1484,11,449
2023-01-13,0900 - 1000,18,726,1421,12,695
2023-01-13,1000 - 1100,10,416,696,14,280
2023-01-13,1100 - 1200,11,865,1611,9,746
2023-01-13,1200 - 1300,16,346,765,13,419
2023-01-13,1300 - 1400,24,1324,2650,16,1326
2023-01-13,1400 - 1500,25,550,1131,15,581
2023-01-13,1500 - 1600,26,1252,2085,17,833
2023-01-13,1600 - 1700,29,709,1552,18,843
2023-01-13,1700 - 1800,23,634,1551,18,917
2023-01-13,1800 - 1900,16,416,601,13,185
2023-01-13,1900 - 2000,61,616,1233,22,617
2023-01-13,2000 - 2100,90,473,944,32,471
2023-01-13,2100 - 2200,66,565,1435,41,870
2023-01-13,2200 - 2300,76,440,1122,36,682
2023-01-13,2300 - 0000,50,135,360,45,225
2023-01-14,0500 - 0600,21,236,476,23,240
2023-01-14,0600 - 0700,20,657,1342,15,685
2023-01-14,0700 - 0800,33,1294,1867,12,573
2023-01-14,0800 - 0900,45,165,359,27,194
2023-01-14,0900 - 1000,20,719,1289,17,570
2023-01-14,1000 - 1100,17,357,1098,15,741
2023-01-14,1100 - 1200,16,203,408,14,205
2023-01-14,1200 - 1300,22,850,1707,16,857
2023-01-14,1300 - 1400,32,1124,2188,16,1064
2023-01-14,1400 - 1500,26,699,1164,14,465
2023-01-14,1500 - 1600,14,679,1724,17,1045
2023-01-14,1600 - 1700,15,899,1767,13,868
2023-01-14,1700 - 1800,44,1089,2225,28,1136
2023-01-14,1800 - 1900,51,681,1550,23,869
2023-01-14,1900 - 2000,50,346,966,21,620
2023-01-14,2000 - 2100,27,107,226,9,119
2023-01-14,2100 - 2200,15,554,1682,14,1128
2023-01-14,2200 - 2300,21,249,857,19,608
2023-01-14,2300 - 0000,29,397,1109,23,712
2023-01-15,0500 - 0600,8,94,232,7,138
2023-01-15,0600 - 0700,23,868,1697,12,829
2023-01-15,0700 - 0800,41,1027,1543,17,516
2023-01-15,0800 - 0900,41,482,1084,17,602
2023-01-15,0900 - 1000,21,908,1765,15,857
2023-01-15,1000 - 1100,16,208,591,12,383
2023-01-15,1100 - 1200,16,933,1932,14,999
2023-01-15,1200 - 1300,23,657,1485,13,828
2023-01-15,1300 - 1400,31,1370,2789,14,1419
2023-01-15,1400 - 1500,15,589,1301,13,712
2023-01-15,1500 - 1600,26,1089,2074,17,985
2023-01-15,1600 - 1700,25,939,1929,17,990
2023-01-15,1700 - 1800,28,562,1603,21,1041
2023-01-15,1800 - 1900,15,568,953,21,385
2023-01-15,1900 - 2000,13,447,1095,10,648
2023-01-15,2000 - 2100,11,281,628,13,347
2023-01-15,2100 - 2200,16,443,1634,17,1191
2023-01-15,2200 - 2300,22,177,516,21,339
2023-01-15,2300 - 0000,17,301,1153,16,852
2023-01-16,0500 - 0600,20,287,658,16,371
2023-01-16,0600 - 0700,21,632,1219,11,587
2023-01-16,0700 - 0800,25,827,1181,12,354
2023-01-16,0800 - 0900,40,354,630,16,276
2023-01-16,0900 - 1000,19,723,1296,10,573
2023-01-16,1000 - 1100,11,226,748,12,522
2023-01-16,1100 - 1200,21,617,1534,26,917
2023-01-16,1200 - 1300,22,436,1230,20,794
2023-01-16,1300 - 1400,20,860,1643,14,783
2023-01-16,1400 - 1500,15,1067,2392,14,1325
2023-01-16,1500 - 1600,34,1038,1757,14,719
2023-01-16,1600 - 1700,37,501,1348,15,847
2023-01-16,1700 - 1800,33,653,1445,13,792
2023-01-16,1800 - 1900,21,457,1023,18,566
2023-01-16,1900 - 2000,16,322,1052,13,730
2023-01-16,2000 - 2100,12,275,626,13,351
2023-01-16,2100 - 2200,27,520,1585,19,1065
2023-01-16,2200 - 2300,23,207,872,17,665
2023-01-16,2300 - 0000,15,127,521,11,394
2023-01-17,0500 - 0600,27,384,929,17,545
2023-01-17,0600 - 0700,20,670,1447,15,777
2023-01-17,0700 - 0800,28,889,1357,11,468
2023-01-17,0800 - 0900,21,219,401,15,182
2023-01-17,0900 - 1000,27,745,1667,16,922
2023-01-17,1000 - 1100,17,192,578,14,386
2023-01-17,1100 - 1200,23,382,764,19,382
2023-01-17,1200 - 1300,34,1041,1948,25,907
2023-01-17,1300 - 1400,44,489,986,29,497
2023-01-17,1400 - 1500,21,528,1237,19,709
2023-01-17,1500 - 1600,29,845,1720,21,875
2023-01-17,1600 - 1700,23,351,1034,17,683
2023-01-17,1700 - 1800,21,736,1612,14,876
2023-01-17,1900 - 2000,15,376,1030,15,654
2023-01-17,2000 - 2100,15,240,599,10,359
2023-01-17,2100 - 2200,16,519,1468,16,949
2023-01-17,2200 - 2300,25,315,968,22,653
2023-01-17,2300 - 0000,24,245,594,13,349
2023-01-18,0500 - 0600,40,397,833,31,436
2023-01-18,0600 - 0700,49,813,1579,15,766
2023-01-18,0700 - 0800,39,561,744,12,183
2023-01-18,0800 - 0900,85,945,1606,29,661
2023-01-18,0900 - 1000,57,303,511,12,208
2023-01-18,1000 - 1100,15,177,570,15,393
2023-01-18,1100 - 1200,17,529,926,12,397
2023-01-18,1200 - 1300,26,569,1251,18,682
2023-01-18,1300 - 1400,42,1104,2194,17,1090
2023-01-18,1400 - 1500,44,546,1081,22,535
2023-01-18,1500 - 1600,45,1232,2249,19,1017
2023-01-18,1600 - 1700,38,558,1145,11,587
2023-01-18,1700 - 1800,35,668,1586,14,918
2023-01-18,1800 - 1900,19,537,619,11,82
2023-01-18,1900 - 2000,36,376,792,12,416
2023-01-18,2000 - 2100,23,136,519,12,383
2023-01-18,2100 - 2200,19,200,699,14,499
2023-01-18,2200 - 2300,24,423,995,17,572
2023-01-18,2300 - 0000,30,126,464,27,338
2023-01-19,0500 - 0600,32,499,1027,22,528
2023-01-19,0600 - 0700,29,313,565,18,252
2023-01-19,0700 - 0800,15,756,1087,8,331
2023-01-19,0800 - 0900,35,416,824,24,408
2023-01-19,0900 - 1000,13,450,788,8,338
2023-01-19,1000 - 1100,9,283,656,8,373
2023-01-19,1100 - 1200,16,644,1088,9,444
2023-01-19,1200 - 1300,23,453,908,15,455
2023-01-19,1300 - 1400,26,1741,3096,17,1355
2023-01-19,1400 - 1500,20,121,268,10,147
2023-01-19,1500 - 1600,39,1183,2182,22,999
2023-01-19,1600 - 1700,37,680,1613,23,933
2023-01-19,1700 - 1800,46,814,1621,22,807
2023-01-19,1800 - 1900,31,109,374,26,265
2023-01-19,1900 - 2000,42,793,1324,15,531
2023-01-19,2000 - 2100,38,73,240,14,167
2023-01-19,2100 - 2200,23,376,950,13,574
2023-01-19,2200 - 2300,32,452,991,24,539
2023-01-19,2300 - 0000,45,215,527,34,312
2023-01-20,0500 - 0600,31,281,430,22,149
2023-01-20,0600 - 0700,33,667,1289,20,622
2023-01-20,0700 - 0800,63,1041,1456,23,415
2023-01-20,0800 - 0900,74,576,848,32,272
2023-01-20,0900 - 1000,31,372,729,11,357
2023-01-20,1000 - 1100,17,352,746,9,394
2023-01-20,1100 - 1200,15,646,1146,14,500
2023-01-20,1200 - 1300,13,718,1466,10,748
2023-01-20,1300 - 1400,21,1140,1892,13,752
2023-01-20,1400 - 1500,11,198,348,9,150
2023-01-20,1500 - 1600,32,1244,2250,15,1006
2023-01-20,1600 - 1700,24,400,847,12,447
2023-01-20,1700 - 1800,25,818,1658,12,840
2023-01-20,1800 - 1900,15,311,561,17,250
2023-01-20,1900 - 2000,45,549,958,14,409
2023-01-20,2000 - 2100,52,581,1170,17,589
2023-01-20,2100 - 2200,33,460,1101,15,641
2023-01-20,2200 - 2300,24,516,1117,17,601
2023-01-20,2300 - 0000,20,142,368,18,226
2023-01-21,0500 - 0600,27,302,629,20,327
2023-01-21,0600 - 0700,12,376,769,10,393
2023-01-21,0700 - 0800,11,468,619,5,151
2023-01-21,0800 - 0900,31,1123,1751,18,628
2023-01-21,0900 - 1000,22,489,1011,13,522
2023-01-21,1000 - 1100,9,307,797,7,490
2023-01-21,1100 - 1200,16,589,1206,12,617
2023-01-21,1200 - 1300,17,533,1146,11,613
2023-01-21,1300 - 1400,22,917,1814,11,897
2023-01-21,1400 - 1500,27,1295,2611,16,1316
2023-01-21,1500 - 1600,35,605,1431,17,826
2023-01-21,1600 - 1700,46,795,1621,17,826
2023-01-21,1700 - 1800,49,656,1674,17,1018
2023-01-21,1800 - 1900,37,567,1061,14,494
2023-01-21,1900 - 2000,56,521,1013,19,492
2023-01-21,2000 - 2100,21,314,954,19,640
2023-01-21,2100 - 2200,20,348,1044,16,696
2023-01-21,2200 - 2300,25,474,1309,19,835
2023-01-21,2300 - 0000,21,59,178,19,119
2023-01-22,0000 - 0100,16,12,161,13,149
2023-01-22,0500 - 0600,17,267,584,12,317
2023-01-22,0600 - 0700,20,708,1495,15,787
2023-01-22,0700 - 0800,24,718,1104,17,386
2023-01-22,0800 - 0900,34,495,914,13,419
2023-01-22,0900 - 1000,14,626,1087,10,461
2023-01-22,1000 - 1100,13,605,1161,9,556
2023-01-22,1100 - 1200,10,246,545,9,299
2023-01-22,1200 - 1300,18,949,2380,14,1431
2023-01-22,1300 - 1400,17,931,2250,18,1319
2023-01-22,1400 - 1500,27,658,1456,19,798
2023-01-22,1500 - 1600,31,889,1769,20,880
2023-01-22,1600 - 1700,18,1036,2394,16,1358
2023-01-22,1700 - 1800,14,158,716,13,558
2023-01-22,1800 - 1900,9,280,664,6,384
2023-01-22,1900 - 2000,24,582,1237,28,655
2023-01-22,2000 - 2100,15,308,686,13,378
2023-01-22,2100 - 2200,22,273,1253,18,980
2023-01-22,2200 - 2300,20,223,701,19,478
2023-01-22,2300 - 0000,16,312,1116,15,804
2023-01-23,0600 - 0700,10,723,1459,11,736
2023-01-23,0700 - 0800,11,594,872,8,278
2023-01-23,0800 - 0900,28,810,1319,20,509
2023-01-23,0900 - 1000,11,304,475,8,171
2023-01-23,1000 - 1100,13,514,1172,12,658
2023-01-23,1100 - 1200,18,544,1168,15,624
2023-01-23,1200 - 1300,26,1108,2376,20,1268
2023-01-23,1300 - 1400,24,477,872,10,395
2023-01-23,1400 - 1500,14,598,1278,14,680
2023-01-23,1500 - 1600,20,875,1635,15,760
2023-01-23,1600 - 1700,19,597,1290,15,693
2023-01-23,1700 - 1800,13,377,843,13,466
2023-01-23,1800 - 1900,15,537,1135,12,598
2023-01-23,1900 - 2000,22,534,1276,15,742
2023-01-23,2000 - 2100,24,457,982,10,525
2023-01-23,2100 - 2200,31,165,681,17,516
2023-01-23,2200 - 2300,22,267,860,22,593
2023-01-23,2300 - 0000,16,289,802,13,513
2023-01-24,0500 - 0600,28,211,607,20,396
2023-01-24,0600 - 0700,19,581,1004,14,423
2023-01-24,0700 - 0800,15,307,482,5,175
2023-01-24,0800 - 0900,64,532,840,25,308
2023-01-24,0900 - 1000,45,442,810,13,368
2023-01-24,1000 - 1100,20,433,1065,17,632
2023-01-24,1100 - 1200,24,249,438,19,189
2023-01-24,1200 - 1300,17,756,1597,13,841
2023-01-24,1300 - 1400,29,984,1603,19,619
2023-01-24,1400 - 1500,20,386,950,15,564
2023-01-24,1500 - 1600,17,603,1091,9,488
2023-01-24,1600 - 1700,36,553,1359,19,806
2023-01-24,1700 - 1800,17,141,659,11,518
2023-01-24,1800 - 1900,14,348,510,6,162
2023-01-24,1900 - 2000,32,466,1250,16,784
2023-01-24,2000 - 2100,19,203,456,12,253
2023-01-24,2100 - 2200,11,430,1064,11,634
2023-01-24,2200 - 2300,15,228,627,13,399
2023-01-25,0000 - 0100,8,148,299,5,151
2023-01-25,0500 - 0600,42,383,872,24,489
2023-01-25,0600 - 0700,42,720,1171,12,451
2023-01-25,0700 - 0800,38,455,651,15,196
2023-01-25,0800 - 0900,58,506,881,24,375
2023-01-25,0900 - 1000,58,845,1104,14,259
2023-01-25,1000 - 1100,28,358,827,13,469
2023-01-25,1100 - 1200,20,494,1052,13,558
2023-01-25,1200 - 1300,40,783,1450,17,667
2023-01-25,1300 - 1400,43,529,1005,14,476
2023-01-25,1400 - 1500,35,829,1502,21,673
2023-01-25,1500 - 1600,77,807,1654,26,847
2023-01-25,1600 - 1700,80,723,1364,20,641
2023-01-25,1700 - 1800,51,304,710,16,406
2023-01-25,1800 - 1900,27,311,462,14,151
2023-01-25,1900 - 2000,53,706,1311,24,605
2023-01-25,2000 - 2100,18,7,60,13,53
2023-01-25,2100 - 2200,16,203,592,12,389
2023-01-25,2200 - 2300,29,419,1147,22,728
2023-01-25,2300 - 0000,26,265,639,13,374
2023-01-26,0500 - 0600,36,202,601,27,399
2023-01-26,0600 - 0700,27,658,1061,13,403
2023-01-26,0700 - 0800,22,285,530,10,245
2023-01-26,0800 - 0900,18,268,515,17,247
2023-01-26,0900 - 1000,35,581,928,8,347
2023-01-26,1000 - 1100,35,418,876,9,458
2023-01-26,1100 - 1200,30,733,1356,14,623
2023-01-26,1200 - 1300,27,543,929,16,386
2023-01-26,1300 - 1400,37,1276,2271,16,995
2023-01-26,1400 - 1500,49,442,913,20,471
2023-01-26,1500 - 1600,59,906,1694,19,788
2023-01-26,1600 - 1700,61,969,1901,21,932
2023-01-26,1700 - 1800,31,361,746,18,385
2023-01-26,1800 - 1900,16,312,671,17,359
2023-01-26,1900 - 2000,10,54,182,5,128
2023-01-26,2000 - 2100,24,322,704,18,382
2023-01-26,2100 - 2200,31,365,1094,24,729
2023-01-26,2200 - 2300,33,265,643,23,378
2023-01-26,2300 - 0000,47,307,631,23,324
2023-01-27,0500 - 0600,34,432,935,22,503
2023-01-27,0600 - 0700,33,677,1119,19,442
2023-01-27,0700 - 0800,18,425,560,10,135
2023-01-27,0800 - 0900,31,365,731,28,366
2023-01-27,0900 - 1000,53,795,1150,30,355
2023-01-27,1000 - 1100,31,315,678,12,363
2023-01-27,1100 - 1200,14,568,1033,12,465
2023-01-27,1200 - 1300,17,642,1198,11,556
2023-01-27,1300 - 1400,20,827,1638,11,811
2023-01-27,1400 - 1500,9,362,726,5,364
2023-01-27,1500 - 1600,20,883,1668,15,785
2023-01-27,1600 - 1700,19,1054,1796,11,742
2023-01-27,1700 - 1800,32,377,1032,21,655
2023-01-27,1800 - 1900,20,285,566,20,281
2023-01-27,1900 - 2000,23,428,884,20,456
2023-01-27,2000 - 2100,29,264,689,17,425
2023-01-27,2100 - 2200,34,623,1334,20,711
2023-01-27,2200 - 2300,42,452,835,24,383
2023-01-27,2300 - 0000,19,218,418,12,200
2023-01-28,0500 - 0600,29,313,688,14,375
2023-01-28,0600 - 0700,25,570,990,9,420
2023-01-28,0700 - 0800,19,418,678,14,260
2023-01-28,0800 - 0900,34,619,1087,22,468
2023-01-28,0900 - 1000,15,367,708,13,341
2023-01-28,1000 - 1100,12,235,586,8,351
2023-01-28,1100 - 1200,17,639,1296,13,657
2023-01-28,1200 - 1300,21,314,875,16,561
2023-01-28,1300 - 1400,30,1087,1916,16,829
2023-01-28,1400 - 1500,21,785,1537,17,752
2023-01-28,1500 - 1600,42,1196,2351,20,1155
2023-01-28,1600 - 1700,23,492,1312,15,820
2023-01-28,1700 - 1800,23,752,1553,18,801
2023-01-28,1800 - 1900,22,221,383,13,162
2023-01-28,1900 - 2000,20,548,1252,12,704
2023-01-28,2000 - 2100,27,310,750,18,440
2023-01-28,2100 - 2200,22,369,1294,18,925
2023-01-28,2200 - 2300,38,425,1240,25,815
2023-01-28,2300 - 0000,17,59,180,17,121
2023-01-29,0500 - 0600,17,205,367,8,162
2023-01-29,0600 - 0700,35,859,1921,15,1062
2023-01-29,0700 - 0800,18,236,444,8,208
2023-01-29,0800 - 0900,27,673,1254,16,581
2023-01-29,0900 - 1000,21,580,1134,11,554
2023-01-29,1000 - 1100,15,403,825,13,422
2023-01-29,1100 - 1200,15,587,1104,12,517
2023-01-29,1200 - 1300,18,675,1911,14,1236
2023-01-29,1300 - 1400,14,712,1704,14,992
2023-01-29,1400 - 1500,13,864,1733,10,869
2023-01-29,1500 - 1600,23,903,1945,17,1042
2023-01-29,1600 - 1700,12,752,1747,13,995
2023-01-29,1700 - 1800,17,513,1322,11,809
2023-01-29,1800 - 1900,19,188,641,19,453
2023-01-29,1900 - 2000,32,694,1340,14,646
2023-01-29,2000 - 2100,29,305,688,19,383
2023-01-29,2100 - 2200,19,234,1329,13,1095
2023-01-29,2200 - 2300,22,185,805,19,620
2023-01-29,2300 - 0000,14,103,497,11,394
2023-01-30,0500 - 0600,42,276,731,24,455
2023-01-30,0600 - 0700,34,646,1340,14,694
2023-01-30,0700 - 0800,12,179,342,11,163
2023-01-30,0800 - 0900,28,784,1255,23,471
2023-01-30,0900 - 1000,20,381,661,19,280
2023-01-30,1000 - 1100,21,330,891,20,561
2023-01-30,1100 - 1200,13,485,1037,12,552
2023-01-30,1200 - 1300,26,982,2308,19,1326
2023-01-30,1300 - 1400,12,628,1315,9,687
2023-01-30,1400 - 1500,20,523,1384,16,861
2023-01-30,1500 - 1600,24,1026,1602,15,576
2023-01-30,1600 - 1700,32,925,1733,20,808
2023-01-30,1700 - 1800,26,443,1220,18,777
2023-01-30,1800 - 1900,14,203,517,13,314
2023-01-30,1900 - 2000,29,558,1444,19,886
2023-01-30,2000 - 2100,33,507,1334,15,827
2023-01-30,2100 - 2200,21,217,828,16,611
2023-01-30,2200 - 2300,17,190,605,15,415
2023-01-30,2300 - 0000,11,24,173,10,149
2023-01-31,0500 - 0600,31,215,546,21,331
2023-01-31,0600 - 0700,14,550,1209,10,659
2023-01-31,0700 - 0800,26,419,852,19,433
2023-01-31,0800 - 0900,34,423,824,11,401
2023-01-31,0900 - 1000,20,324,746,10,422
2023-01-31,1000 - 1100,20,295,868,13,573
2023-01-31,1100 - 1200,14,310,780,13,470
2023-01-31,1200 - 1300,13,627,1536,12,909
2023-01-31,1300 - 1400,24,840,1315,13,475
2023-01-31,1400 - 1500,16,281,1008,15,727
2023-01-31,1500 - 1600,25,724,1440,14,716
2023-01-31,1600 - 1700,12,391,857,7,466
2023-01-31,1700 - 1800,21,565,1772,15,1207
2023-01-31,1900 - 2000,25,482,1209,14,727
2023-01-31,2000 - 2100,11,271,922,12,651
2023-01-31,2100 - 2200,27,444,1019,16,575
2023-01-31,2200 - 2300,19,272,818,17,546
2023-01-31,2300 - 0000,31,50,175,29,125
2023-02-01,0500 - 0600,62,570,1082,25,512
2023-02-01,0600 - 0700,49,706,1219,15,513
2023-02-01,0700 - 0800,31,489,682,10,193
2023-02-01,0800 - 0900,54,941,1505,19,564
2023-02-01,0900 - 1000,39,455,766,8,311
